requirements,class
"Bed that makes itself, I can save time on making the bed.",Other
"my smart home to give alert if anything is on the floor apart from usual things like if my key is lost somewhere my smart house should give me an alert of direction where i should search it., it can save my time to search things.",Other
"Software integrated through the refrigerator, all cooking appliances, any and all exercise equipment, and my bike & Fitbit, to fully track all calories consumed, burned, muscle development, hydration, and other factors relating to health and weight loss. Reminders to take daily vitamins & supplements., My house can help me lose weight and improve my strength and stamina.",Health
"a smart fridge, it can monitor what is running low so that I can be notified to buy more.",Health
"my home to let me know when dust particulates are high, don't go into anaphalaxis.",Health
"floors to be heated when it's cold, my toes don't get cold.",Health
"answer phone, use hands less.",Other
"my smart home to be able to order delivery food by simple voice command, I can prepare dinner easily after a long day at work.",Health
"gutters that clean themselves, I don't have to get up on a ladder..",Other
"my smart home to sense my approach and start cooking my dinner, it will be ready shortly after I arrive home.",Other
"to know when my children are not feeling well, i can take them to hospital.",Health
"refrigerator that keeps count of what's inside, I will always know when something is running low..",Health
"my smart refrigerator to sense variations in temperature and alert me if maintenance will soon be required, I'm not caught with a broken fridge and lose all my food.",Health
"the door to record the time of day or night it is opened, I can know what time my teenager comes home without having to stay up for him or her.",Other
"an alarm system to alert everyone whenever it's time to eat, not inform everyone.",Other
"a wall that can change scenery, I can always be surrounded by elements that appeal to me, no matter what the weather is outside..",Health
"a device that reads any book/notes I hover it over, I can study while doing other things.",Other
"automated temperature checker , I can take a temperature without having to disturb who ever is not feeling well .",Health
"scale to upload weight to a data server, I can keep track of it.",Health
"doors to shut automatically if I leave them open unattended, I can feel better about the cleanliness of my house.",Health
"my smart home to detect and sound an alarm when my pet is on the counters, I can teach him when I am not at home.",Other
"a self cleaning litterbox, i don't have to clean it every day.",Other
"to be alerted of new postal delivery, I know when to go to the mailbox..",Other
"the ability to monitor my dog's water bowl, I know when it should be filled.",Health
"My smart home to keep track of my pets health, they will remain healthy .",Health
"automatic lawnmower, it can cut the grass itself without anyone doing it.",Other
"self-scrubbing toilets, a dirty task took care of itself.",Other
"notification of my pantry supplies when they run low, I can restock before I run out..",Health
"my smarthome to alert me whenever the amount of milk in my fridge is too low, I can get them from the supermarket and enjoy a wholesome breakfast.",Health
"the temperature automatically adjusted inside my home when there are external changes in temperature to compensate, I can be comfortable without having to adjust temperatures manually.",Other
"my coffee maker to automatically perpare itself for the next mornign with water and coffee, coffee is always reading in the mornign.",Health
"to know the amount of time my vegetables have been in the fridge, I can use them all before they go bad.",Health
"a device that changes the temperature of the house to my comfort when I walk in or 30 minutes before I walk in.  , I am comfortable when I walk in..",Other
"lights to gradually come on in the morning, I can awaken to natural light.",Health
"to be notified whenever my cat uses the cat litter, I can clean it immediately and my cat can enjoy clean cat litter..",Other
"my home to monitor my body and it's functions and test excretions for possible ailments, I can be sure I'm healthy and disease free.",Health
"room temperatures to be dynamic and adjust according to personal options, everyone is comfortable in every room at any given moment.",Other
"my smart home to sense when to and water my houseplants when they need it, i won't have to remember .",Other
"my walls to take the design, color, or pattern of my choosing at any time, selected from my smartphone., I can easily customize my home..",Other
"notify me if there are any shortage in my kitchen product., I can buy at time..",Health
"harmful gases, lead levels, and more are monitored , my children are healthy at all times.",Health
"to have wifi coffee machines, I can easily brew coffee with an app.",Other
"sensors that will detect stress on the foundation, I'll know when drainage/moisture around the foundation needs to be adjusted (big problem in Texas).",Other
"my work computer to turn on at a set time each day, I am never late logging in for work. .",Other
"my smart home to equipped with smart bed, it can track my hours of sleep,breathing,heart rate and movement.",Health
"an alert when my cat shits in its litter box, I can remove the smelly cat turds before they stink up my house .",Health
"smart water sprinklers, they only turn on when they sense that there has been a shortage in natural water fall.",Other
