requirements,class
"Bed that makes itself, I can save time on making the bed.",Other
"my smart home to give alert if anything is on the floor apart from usual things like if my key is lost somewhere my smart house should give me an alert of direction where i should search it., it can save my time to search things.",Other
"answering machine to play message when I walk into that  room, I don't miss anything important..",Entertainment
"Phone notification to alert me when someone knocks on my front door, I don't miss food deliveries.",Entertainment
"recommendations of new tv shows, i can know what is new.",Entertainment
"My smart home to calculate Our walking step inside home individual , so that it will motivate to stay as fit.",Health
"answer phone, use hands less.",Other
"a smart fridge, it can monitor what is running low so that I can be notified to buy more.",Health
"my smart home to alert me when my children are not home by their usual time, I will know if they have gone missing.",Safety
"my smart home to sense my approach and start cooking my dinner, it will be ready shortly after I arrive home.",Other
"I want a refrigerator that automatically monitors and purchases groceries that are low,, I can save time from having to shop..",Health
"an alarm on my door, I can tell if my annoying brother or sister tries to come in my room..",Entertainment
"alarm, wake up alarm to get up for reading .",Health
"my pool to automatically cover itself when my child is playing outside, they will not fall in or rown.",Safety
"an alarm system to alert everyone whenever it's time to eat, not inform everyone.",Other
"my bathroom mirror, sink, and shower to autoclean each day, I don't have to do it and this will allow me more time for other things..",Health
"a device that reads any book/notes I hover it over, I can study while doing other things.",Other
"a home that's interactive for my kids, they will not be bored..",Entertainment
"laser lights and toy balls to appear at random intervals, my cats and dogs are entertained when I am away from home.",Entertainment
"my refrigerator and freezer temperature monitored, I don't have to worry about food contamination, spoilage or inadequate food storage.",Health
"my smart home to detect and sound an alarm when my pet is on the counters, I can teach him when I am not at home.",Other
"a self cleaning litterbox, i don't have to clean it every day.",Other
"to be alerted of new postal delivery, I know when to go to the mailbox..",Other
"""piggy"" bank that tracks the money added and responds with congratulations and other comments, I can be encouraged to save.",Health
"a TV that turns on at a specific time, to a specific channel, at a specific volume , I wake up watching exactly what I want..",Entertainment
"automatic lawnmower, it can cut the grass itself without anyone doing it.",Other
"to be alerted if there is no activity at my neighbor's house for a set extended period of time, I can inquire after the wellbeing of my neighbors if they have not been active after an extended period.",Safety
"My smart home to alert me when the children are not watching the proper television programs., I can supervise my children without needing to actually spend time with them..",Entertainment
"a siri like feature where my house can google things, I can have a talking house..",Entertainment
"the temperature automatically adjusted inside my home when there are external changes in temperature to compensate, I can be comfortable without having to adjust temperatures manually.",Other
"my TV to automatically play my favorite show/news channel when I get home from work. , I don't have to waste time pressing buttons with my remote. .",Entertainment
"house that records my favorite tv shows for me if I am not sitting on the couch,, I don't have to remember to schedule a recording..",Entertainment
"a device that changes the temperature of the house to my comfort when I walk in or 30 minutes before I walk in.  , I am comfortable when I walk in..",Other
"automated temperature checker , I can take a temperature without having to disturb who ever is not feeling well .",Health
"The outside lights to come one when I arrive in the parking lot., I have the added security when i arrive home..",Safety
"smart box to manage internet cabling, I can change how the internet is wired in the house.",Entertainment
"room temperatures to be dynamic and adjust according to personal options, everyone is comfortable in every room at any given moment.",Other
"my smart home to notify me on my cell when the smoke detectors' batteries are getting low , I don't have to hear the annoying nonstop beeping of the detecter at the most inconvenient times..",Safety
"my walls to take the design, color, or pattern of my choosing at any time, selected from my smartphone., I can easily customize my home..",Other
"my fridge to alert me when I am low on milk and cereal, my kids will have food.",Health
"my smart home to make recommendations when new movies come out that match my viewing habits, I will benefit from movie suggestions that I will probably enjoy..",Entertainment
"to have wifi coffee machines, I can easily brew coffee with an app.",Other
"my smarthome to alert me whenever someone sets up a spycam inside my home. , I won't be monitored.",Safety
"an app that tells me if my child gets near a dangerous appliance like a stove, safety for my child.",Safety
"voice recognized play list, I can speak my music desires and they will automatically play.",Entertainment
"rfid sensors, when I come home, it senses my RFID chip and turns on coffee maker..",Entertainment
