requirements,class
"harmful gases, lead levels, and more are monitored , my children are healthy at all times.",Health
"to be able to voice activate lights, television, radio in my home, I don't have to get up when I am in pain.",Health
"all the rooms to have a humidifier that works with the heating and cooling system , energy can be saved, the air in my home will be cleaner and to suck up excess moisture in the home.",Energy
"walls that collect sunlight to heat my house, I spend less money on heat.",Energy
"temperature control in each room, unused rooms aren't wasting energy.",Energy
"a feature for dimmed lighting and soft music, I can relax and enjoy my downtime without much effort.",Entertainment
"an automatic bath which fills to my desired temperature and depth, I can stink less.",Health
"Phone notification to alert me when someone knocks on my front door, I don't miss food deliveries.",Entertainment
"my smart home to alert me when my children are not home by their usual time, I will know if they have gone missing.",Safety
"the doggie door to open at certain times of the day,, the dogs are able to go outside and get fresh air and go to the bathroom..",Health
"my music player to work in conjunction with the lights, to set the mood for when I am entertaining.",Entertainment
"I'm aware if a window is open and letting cold/hot air in.,  I can always be comfortable..",Energy
"my smarthome to automatically turn on the television whenever my favorite show is telecast. , I don't miss my favorite shows.",Entertainment
"my pool to automatically cover itself when my child is playing outside, they will not fall in or rown.",Safety
"my home to track my medication usage, it can remind me when to take medication.",Health
"my smart home to react to my voice and play a movie that I request,, I can enjoy any movie that I want at the moment..",Entertainment
"My smart home to keep track of my pets health, they will remain healthy .",Health
"a faster pre-heating oven, i can cook things without as much planning or waiting.",Energy
"my laundry dryer to notify me when my clothes are dried even when it is still running, so i could remove them and not have to have the dryer running when it is not needed so i could save energy.",Energy
"something that would turn on music by the sound of my voice., I won't have to get up to turn it on..",Entertainment
"My refrigerator to tell me when I am low on foods I use often, , I will never run out.",Health
"my bed to come with smart features that allow me to control comfort, I get the best night's sleep I can have.",Health
"a machine to tell me what allergens are in my home, I can stay healthy.",Health
"plants that water themselves with a gadget when they detect water is needed, I can not worry about killing the plant by forgetting to water it..",Entertainment
"home that use earth friendly energy saving techniques, I do less harm to the earth.",Energy
"A smart dirty clothes hamper that takes clothes and sorts then and washes at a specified time, I can save time on doing laundry.",Health
"to be alerted if there is no activity at my neighbor's house for a set extended period of time, I can inquire after the wellbeing of my neighbors if they have not been active after an extended period.",Safety
"my washing to run only when there is a full load of laundry, i will conserve energy and water by only running when necessary .",Energy
"An all in one device that is capable of washing, drying, and folding my clothes, I can worry about spending more time with my family, and having to worry about more things to do when I get home from work..",Energy
" my smart home to automatically refill the pet's water and food bowl through an automated system, I know my pet will be taken care of in the event that no one is home or someone has forgotten to feed them...",Health
"my smart home to start laundry after it senses a full load of clothes. , I can save time and manage my water use efficiently. .",Energy
"exercise to turn to electricity, I can contribute.",Energy
"my smart home to regularly track the weight of my animals with a scale hidden at the cat flap, I may be alerted to significant changes in my animal's weight, which could suggest health issues..",Health
"a home that's interactive for my kids, they will not be bored..",Entertainment
"The outside lights to come one when I arrive in the parking lot., I have the added security when i arrive home..",Safety
"my thermostat to auto adjust to real time outdoor temperature, energy will be used efficiently based on weather .",Energy
"a fridge that monitors my supplies, I know what ingredients I have to work with.",Health
"my smart home to notify me on my cell when the smoke detectors' batteries are getting low , I don't have to hear the annoying nonstop beeping of the detecter at the most inconvenient times..",Safety
"my smart home to be able to dispense food for my pets when I am away, I can be at work or on vacation without worrying about my pets.",Health
"surround sound connected to wifi, I can stream music in any room..",Entertainment
