requirements,class
"my bathroom mirror, sink, and shower to autoclean each day, I don't have to do it and this will allow me more time for other things..",Health
"to be alerted of new postal delivery, I know when to go to the mailbox..",Other
"all the rooms to have a humidifier that works with the heating and cooling system , energy can be saved, the air in my home will be cleaner and to suck up excess moisture in the home.",Energy
"walls that collect sunlight to heat my house, I spend less money on heat.",Energy
"temperature control in each room, unused rooms aren't wasting energy.",Energy
"voice recognized play list, I can speak my music desires and they will automatically play.",Entertainment
"to receive a text if the fridge is opened, I can monitor what my kids are eating..",Health
"Self loading washer and dryer , Myself and elderly people or people with back problems can have an easier time doing laundry.",Health
"doors to unlock automatically if I am specifically detected. , I don't need to deal with keys. .",Other
"a robot that can prepare meals for me. , I don't have to waste time cooking. .",Other
"an interconnected entertainment network, house wide., I can roam the house and multitask, but any program, music, or movie I am watching comes on as I enter the room, and turns off as I leave..",Entertainment
"a robot to make me meals, I don't have to cook my own.",Entertainment
"a smart kitchen, it automatically creates a grocery list based on what I use from my fridge, freezer, and pantry..",Entertainment
"motion sensors, i can track movement.",Other
"My medicine pill holder to notify me about the pill that are going to expire, So that I can replace the old one and purchase new one..",Health
"laser lights and toy balls to appear at random intervals, my cats and dogs are entertained when I am away from home.",Entertainment
"my home to alert me when my pet leaves something behind on the floor, I am alerted to when I need to clean up to prevent odors..",Other
"automatic cabinets, my small appliances can be raised and lowered automatically as needed..",Entertainment
"my laundry dryer to notify me when my clothes are dried even when it is still running, so i could remove them and not have to have the dryer running when it is not needed so i could save energy.",Energy
"an art room, i can admire my collections.",Entertainment
"Restock-able Toilet  Paper, I wont have to take the toilet paper off of the roll and replace after its done.",Other
"walls that can be set to reduce noise levels, you can be undisturbed by others noises..",Other
"my home to be able to alert me to where my keys and wallet are at any time, I don't have to look in multiple rooms for these items when I need to leave.",Other
"my smart home to tell me the bacteria percentage in my home, I know when to disinfect .",Health
"home that use earth friendly energy saving techniques, I do less harm to the earth.",Energy
"water should be automatically supplied to palnts, save time.",Other
"an app that tells me if my child gets near a dangerous appliance like a stove, safety for my child.",Safety
"my washing to run only when there is a full load of laundry, i will conserve energy and water by only running when necessary .",Energy
"recommendations of new tv shows, i can know what is new.",Entertainment
"scale to upload weight to a data server, I can keep track of it.",Health
"My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde,,  I can always be comfortable..",Entertainment
"exercise to turn to electricity, I can contribute.",Energy
"my home to remind me when its time to walk the dog, I never forget.",Health
"my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up, I can start my day more efficiently.",Health
"my smart home to notify me on my cell when the smoke detectors' batteries are getting low , I don't have to hear the annoying nonstop beeping of the detecter at the most inconvenient times..",Safety
"a device that can greet me and hold conversations with me in any room in the house and in the yard, I can be entertained and have answers to questions..",Entertainment
"my smart home to notify me if there is too much dust in the air, dusting and vacuuming don't get put off due to busy lives.",Health
"Keyless Digital Door Lock, I don't have to carry keys with me..",Safety
"to be notified whenever the cat is sitting in the bath tub, so I can turn on the tap for him., so I can turn on the tap for him..",Other
"my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work, I can be relaxed.",Entertainment
"Room thermostat sensor, The room is optimal temperature for an occupant .",Energy
