requirements,class
"my car to send an alert to my smartphone if I forget to lock it, I will prevent breakins..",Safety
"my smart home to alert the fire department if a fire is detected,, my home and valubles don't burn down..",Safety
"all the rooms to have a humidifier that works with the heating and cooling system , energy can be saved, the air in my home will be cleaner and to suck up excess moisture in the home.",Energy
"walls that collect sunlight to heat my house, I spend less money on heat.",Energy
"temperature control in each room, unused rooms aren't wasting energy.",Energy
"my smart phone to have programmable thermostats/electricity settings that automatically engage when I'm away, or the weather changes according to specified paramters, i can save money on my bills.",Energy
"to unlock the door from a remote location that has an alert with video feed, the kids don't need to wait when they get to home.",Safety
"Toilet seat to heat, It's warm when someone enters the bathroom .",Energy
"smart home that has a mail receptacle that has sensors to alert me when mail has been delivered, I can promptly retrieve my mail without having to worry about theft.",Safety
"my phone to alert me if carbon monoxide levels are outside of the normal range, I can ensure that everyone in the house evacuates and is safe..",Safety
"smart light controls, I can turn all of the lights off from my bed.",Energy
"I'm aware if a window is open and letting cold/hot air in.,  I can always be comfortable..",Energy
"My home to turn on the lights when I come home and turn off the ones I'm not using when I leave a room,, I can save on my energy bill. .",Energy
"to have logs of when someone steps onto my property via sensors., I know if someone is coming and going..",Safety
"my smart home to alert me when my dog enters a room, so I know where she is.",Safety
"my lights bulbs to turn off after 5 minutes, i use less energy.",Energy
"to know any cameras targeting us to capture us without our permission., we would be more safe..",Safety
"a faster pre-heating oven, i can cook things without as much planning or waiting.",Energy
"my laundry dryer to notify me when my clothes are dried even when it is still running, so i could remove them and not have to have the dryer running when it is not needed so i could save energy.",Energy
"my water in the shower to shut off after 10 minutes, I can conserve water.",Energy
"an alert on my phone when my child leaves the house , i can know when my child is leaving .",Safety
"key detection sensor, I cal always find my keys.",Safety
"outlet control, I can turn off power to an outlet if I leave my hair straightener plugged in after I leave..",Safety
"smart washing machine, I just have to add the clothes and it washes, adds detergent and dries automatically when full..",Energy
"home that use earth friendly energy saving techniques, I do less harm to the earth.",Energy
"the temperature to adjust by voice command, when I shower, I do not get scalded..",Safety
"my alarm system turns on and off automatically at preset times, I do not forget to turn on the alarm at night.",Safety
"my washing to run only when there is a full load of laundry, i will conserve energy and water by only running when necessary .",Energy
"An all in one device that is capable of washing, drying, and folding my clothes, I can worry about spending more time with my family, and having to worry about more things to do when I get home from work..",Energy
"an alert when someone comes to the door, I can see who is there..",Safety
"my smart home to start laundry after it senses a full load of clothes. , I can save time and manage my water use efficiently. .",Energy
"exercise to turn to electricity, I can contribute.",Energy
"to receive an alert if motion is detected on my driveway or front doorstep, I can know that I have visitors and not miss deliveries or packages.",Safety
"home that turn off a power outlet when it senses that a plugged in device is fully charged, I don't have to remember to unplug a fully charged device..",Energy
"windows that can project images that looks like there are ghosts in my house, I can scare away neighborhood children .",Safety
"my thermostat to auto adjust to real time outdoor temperature, energy will be used efficiently based on weather .",Energy
"teen child monitoring, I'm assured my child is home at appropriate hours.",Safety
"My smart home to alert me when anyone is within 29 feet of my house., I will not have any burglars or unwanted visitors..",Safety
"a sensor that will sound an alarm if my dog escapes through the fenced backyard or something happens to hurt my pet, I will be confident they are safe outside..",Safety
