requirements,class
"my smart home to alert me when my dog enters a room, so I know where she is.",Safety
"My smart home to be prompted to ask me when I get home if I would like to listen to music, and allow me to select what I would like to listen to through a verbal menu. , I can get music conveniently and easily, and save more time for relaxing after work. .",Entertainment
"all appliances to turn off when people leave the room , the house wont burn down to the ground.",Safety
"a monitor to notify EMS if I don't move for more than a day, if I die or become unconcious I can be removed or have help sent.",Safety
"self retracting sky lights, sunlight can help to heat the home or prevent it from entering to keep it cool.",Energy
"something to warn me if there is an electrical problem in the wall, I can get it fixed before my house burns down..",Safety
"my washing to run only when there is a full load of laundry, i will conserve energy and water by only running when necessary .",Energy
"save time cleaning so automatic cleaner, I spend moretime with kids.",Energy
"sensors on my bedroom windows that close when someone is standing outside of them, I can have privacy and safety.",Safety
"A weather station that reports the weather right from my own yard, I can keep track of fluctuations in conditions from anywhere. .",Entertainment
"a coffee mug that has a screen and displays the morning news from sources I choose, I can drink my coffee and read the news in the morning.",Entertainment
"lights to be turned off when I leave a room, I can save anergy.",Energy
"voice activated media system, like echo, I could access media in every room.",Entertainment
"I want to get alert calls when my kids reach home, I can remain calm..",Safety
"my smart phone to have programmable thermostats/electricity settings that automatically engage when I'm away, or the weather changes according to specified paramters, i can save money on my bills.",Energy
"built in clocks in the tv's in each room, I will know what time it is when I am watching tv.",Entertainment
"something that would turn on music by the sound of my voice., I won't have to get up to turn it on..",Entertainment
"smart water meter, if a pipe springs a leak I'll know right away. .",Safety
"my smart home to track when different baby gates have been opened., no one accidentally leaves access to the stairs open for my child. .",Safety
"a television that automatically turns off after an hour, my child will stop watching television and do something else.",Entertainment
"home that use earth friendly energy saving techniques, I do less harm to the earth.",Energy
"motion sensitive lighting, I can save energy and not have to worry about everyone in the house forgetting to turn the lights out.",Energy
"temperature control in each room, unused rooms aren't wasting energy.",Energy
"my smart home to alert me if water is left on outside, I can save money on my water bill during the summer.",Energy
"I would like my smart home to turn off outlets where and appliances are plugged in at night and when I leave the house., I can save money on electricity.",Energy
"my laundry dryer to notify me when my clothes are dried even when it is still running, so i could remove them and not have to have the dryer running when it is not needed so i could save energy.",Energy
"my house to archive where everything is located, so that it knows everything and tells me immediately when I want to know where I'd put my keys or a vacation polaroid I took in 1987 but last seen in 2005.",Entertainment
"sensors on the bathtub, if I fall the paramedics will be called.",Safety
"automated lighting in closets, when  I open my closet door, the light automatically comes on so that I can see adequately.",Energy
"my smart home to notify me on my cell when the smoke detectors' batteries are getting low , I don't have to hear the annoying nonstop beeping of the detecter at the most inconvenient times..",Safety
"gas stove, to save energy.",Energy
"all the rooms to have a humidifier that works with the heating and cooling system , energy can be saved, the air in my home will be cleaner and to suck up excess moisture in the home.",Energy
"my seasonal decorations to be able to be plugged in, I will not have to run extension cords all over the place.",Safety
"my thermostat to auto adjust to real time outdoor temperature, energy will be used efficiently based on weather .",Energy
"recommendations of new tv shows, i can know what is new.",Entertainment
"my smart home to alert the police if someone is trying to break in,, my home and valubles are protected..",Safety
"My smart home to read stories to my children at bedtime., It will save me time..",Entertainment
"a self sustaining greenhouse, my plants will always be taken care of and watered properly.",Energy
"The front and back door to lock whenever my child under 8 years old tries to open it without entering a selected code, They will not open the door without permission, leave the house without my knowledge.",Safety
"lights that in front rooms turn on automatically, potential robbers are deterred thinking someone is home..",Safety
"My home to turn on the lights when I come home and turn off the ones I'm not using when I leave a room,, I can save on my energy bill. .",Energy
"a daily readout of utility useage per zone (kitchen, bathroom), I can learn how to save energy and lower bills.",Energy
"motion sensors throughout the house, rooms which are empty turn off their lights and appliances, saving energy..",Energy
"a feature for dimmed lighting and soft music, I can relax and enjoy my downtime without much effort.",Entertainment
"My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde,,  I can always be comfortable..",Entertainment
"items to save energy, my bills arent high.",Energy
"a system that notifies me when I'm using too much energy, I can save money on my monthly light bill.",Energy
"a faster pre-heating oven, i can cook things without as much planning or waiting.",Energy
"smart light controls, I can turn all of the lights off from my bed.",Energy
"to have a notification to my smartphone about energy use and rate., I can save energy and use it at the best time..",Energy
"my water tank to make an before getting emply, I will start to refill my water tank.",Energy
"Electronic usage monitor, I can tell how much energy I'm using real time.",Energy
"The outside lights to come one when I arrive in the parking lot., I have the added security when i arrive home..",Safety
"a machine to alarm me at the time of serials, I can watch the serial on time.",Entertainment
"my refrigerator to recognize, inventory, and display everything inside, I won't waste energy and time staring into it.",Energy
"a safe garage, My cars stay locked in place if drivers are too intoxicated, affected, or underage to drive.",Safety
"wardrobe suggester, Appropriate wardrobe is chosen based on weather and ocassion.",Entertainment
"An all in one device that is capable of washing, drying, and folding my clothes, I can worry about spending more time with my family, and having to worry about more things to do when I get home from work..",Energy
"exercise to turn to electricity, I can contribute.",Energy
"my smart home to have voice recognition features that allow me to voice active TVs and music., I can entertain my guests more easily..",Entertainment
"want my sprinklers to turn off after 3 minutes, so that i will use less water.",Energy
"voice command video, when a special moment is about to occur I won't have to hunt up a camera or phone to capture the moment. Also this way everyone can be included instead of the camera operator being left out..",Entertainment
"I'm aware if a window is open and letting cold/hot air in.,  I can always be comfortable..",Energy
"pipes and wiring that can alert me when there is a leak or a potential issue, I can know if there is a problem in my house.",Safety
"my home to notify me when my favorite TV show has been recorded on the DVR, I can decide if I want to watch it at that time.",Entertainment
"To be able to remotely turn my consoles on a stream my games to any tv in my house, I can game anywhere.",Entertainment
"my smart home to use facial regongnition when unidentified people are on my property,, my family is safe and they can be properly identified. .",Safety
"my smart home to send an alert to my phone when my children cut any electronics on after 10 pm., energy can be saved and I can monitor their computer usage..",Energy
"My smart home to alert me when anyone is within 29 feet of my house., I will not have any burglars or unwanted visitors..",Safety
"have my home alert me to energy problems such as drafts or cold air flows during winter, I can save money.",Energy
"to control my solar panel with my smartphone, I can make sure there is enough power for the night.",Energy
"automatic cabinets, my small appliances can be raised and lowered automatically as needed..",Entertainment
"my water in the shower to shut off after 10 minutes, I can conserve water.",Energy
"my smart home to react to my voice and play a movie that I request,, I can enjoy any movie that I want at the moment..",Entertainment
"walls that collect sunlight to heat my house, I spend less money on heat.",Energy
"mart lights, they are scheduled to dim at night or turn off when no one is in the room..",Entertainment
"have the lights turn off automatically if it senses no motion, I can save money.",Energy
"a room that is interactive with kids where the walls are TV screens to immerse kids in whatever program I want them to view so that they can pretend they are deep in the Arctic or on a jungle adventure., my kids can have lots of fun..",Entertainment
